临桂新区 金山广场 碧园香樟林 步梯复式楼 露台多,碧园香樟林 ,2,875元/平,46万
板楼南北通透双阳台，一梯一户，单独电梯厅，满二唯一,桂林碧桂园 ,5,723元/平,83万
楼间距150米房子坐北朝南、南北双阳台户型通透采光好,桂林碧桂园 ,5,980元/平,116万
一院两馆旁彰泰城市一号5房江景房,彰泰城市一号 ,5,717元/平,72.6万
三房两厅两卫，三面采光，精装修从未入住，,碧园•印象桂林 ,4,734元/平,53.8万
本小区位于新老城区结合处，生活配套设施完善,奥林匹克花园悉尼蓝湾 ,5,535元/平,48.7万
汇荣桂林桂林 精装两房 89平 新装修未入住,汇荣•桂林桂林 ,5,578元/平,49.8万
房主急售商圈麓湖国际精装二房便宜出售,花样年•麓湖国际 ,4,297元/平,34.5万
一院两馆旁，精装修三房，采光好，户型设计合理实用,彰泰城市一号 ,6,742元/平,60万
房东着急出售汇荣桂林桂林4房户型房子采光好,汇荣•桂林桂林 ,5,763元/平,68万
临桂乐合小镇精装3房，拎包入住,隆旺乐合小镇 ,3,391元/平,34万
户型方正，三个阳台，采光充足通风好，证件齐全无欠款,碧水山庄 ,3,443元/平,33.5万
精装修，户型方正，南北通，采光好，大阳台，,碧园•印象桂林 ,3,339元/平,29万
碧桂园143平，一梯一户有证无贷，双阳台看水系景观,桂林碧桂园 ,5,805元/平,83万
户型方正，采光好，交通便利，配套齐全。,彰泰城市一号 ,4,880元/平,101万
机场路精装小两房出售！价格便宜！,翠苑新城 ,5,204元/平,28.8万
慧佳城 3室2厅 南,慧佳城 ,3,885元/平,35.5万
兴荣郡精装两房便宜出售！小区环境好人车分流！,兴荣郡 ,5,533元/平,45万
碧园印象桂林小高层2房简装，房东急卖!,碧园•印象桂林 ,3,865元/平,30万
小区位置优越，房子随时可卖，处于临桂优势位置。,奥林匹克花园悉尼蓝湾 ,4,361元/平,58万
证件齐全，彰泰物业，视野宽阔，采光充足，楼层好,彰泰欢乐颂 ,5,143元/平,49.8万
离桂林后花园，东坡园三房21万，采光通风效果很好,东坡园 ,2,334元/平,21万
享有老城区与新城区配套，500强万科物业,奥林匹克花园雅典阳光 ,3,877元/平,37.6万
精装修板楼大四房 所见即所得 带车位  急卖！,新城吾悦华府 ,5,529元/平,66.8万
全新装修未入住，可以看水系。。,奥林匹克花园悉尼蓝湾 ,5,700元/平,63.8万
临桂新区（市政）麓湖国际剑桥郡组团 精美2房现房出售,花样年•麓湖国际 ,4,577元/平,43万
市政府旁，精通大2房，电梯中间楼层，证齐无贷,精通伊顿国际 ,4,781元/平,38.5万
山水凤凰城小高层一梯两户精装修拎包入住三房两厅两卫,山水凤凰城 ,5,000元/平,56.5万
吾悦旁 精装4房可拎包入住，带有车位的喔,山水凤凰城 ,4,862元/平,70万
汇荣桂林星玺128平四房值得拥有,汇荣•桂林桂林 ,4,844元/平,62万
吾悦广场，户型方正，动静分离，视野开阔三房45万,汇荣•桂林桂林 ,4,216元/平,45万
吾悦广场旁品质小区，好楼层刚需三房有证急售,汇荣•桂林桂林 ,5,303元/平,45.6万
兴盛天鹅堡 3室2厅 南,兴盛天鹅堡 ,3,712元/平,36万
桂林临桂新区 碧园印象桂林 精装修 三房 客厅朝南,碧园•印象桂林 ,4,715元/平,52.8万
急售！！急售！！好楼层 彰泰公园一号,彰泰公园1号 ,4,436元/平,55万
此房户型方正，中高楼层，视野开阔无遮挡，动静分明。,兴荣郡 ,4,718元/平,36.8万
房东诚心诚意出售，期待有缘人。这个价格带车位的。,桂林碧桂园 ,5,945元/平,85万
急售！一院两馆旁碧桂园精装4房，带车位！一梯一户！,桂林碧桂园 ,5,942元/平,85.9万
彰泰城市一号江景四房精装修未入组家电家具全带,彰泰城市一号 ,6,924元/平,90万
麓湖花样年高层户型方正采光好,只要33万,花样年•麓湖国际 ,3,708元/平,33万
兴汇城精装 江景房，户型方正，中间楼层，急售！！,兴汇城 ,5,604元/平,68万
彰泰城市1号，江景四房，中间楼层，毛坯出售,彰泰城市一号 ,6,049元/平,75万
两个大阳台，南北通，透，大三房，环境美丽，管理严格,彰泰城市一号 ,5,046元/平,55万
彰泰欢乐颂，大四房，采光好，业主急售,彰泰欢乐颂 ,4,562元/平,52万
急售！！！碧桂园精装房 满两年 坐北朝南好楼层,桂林碧桂园 ,5,799元/平,69万
临桂新区彰泰欢乐颂4房2厅2卫好楼层,彰泰欢乐颂 ,4,944元/平,56.5万
临桂新区 两江四湖水系旁 桂林碧桂园 精装修 视野开阔,桂林碧桂园 ,5,715元/平,68万
房子中间楼层，可以看完整个一院两馆，新公园,彰泰公园1号 ,4,702元/平,65万
奥林匹克带小花园一口价40万，带花园20平,不议价,奥林匹克花园雅典阳光 ,4,124元/平,40万
政府 公园旁边 彰泰公园一号 大3房急售 急售,彰泰公园1号 ,4,635元/平,57万
配套成熟拎包入住精装四房证件齐全约看方便车位另算,碧园•印象桂林 ,4,208元/平,58.9万
麓湖国际翡翠湾三房两卫诚意出售,花样年•麓湖国际 ,4,317元/平,42万
：吾悦华府，.绿化多，板楼高层 视野好,新城吾悦华府 ,3,877元/平,34.5万
汇荣桂林精装大三房的洋房，家具家电全部都带，楼层好,汇荣•桂林桂林 ,6,221元/平,67.8万
户型方正，大阳台，朝南采光好，主卧带阳台很方便,彰泰城市一号 ,5,148元/平,70万
全新装修未入住，无贷款。产权清晰,彰泰滟澜山 ,5,923元/平,52万
房东着急出售 汇荣桂林桂林大4房户型方正,汇荣•桂林桂林 ,5,085元/平,60万
大城小院三房二厅二卫，中间好楼层  视野好,中糖大城小院 ,3,981元/平,41.8万
户型方正 诚心出售，三房 交通便利 朝南户型,山水凤凰城 ,3,860元/平,36.8万
汇荣桂林桂林天玺小高层 4房 南北通采光户型,汇荣•桂林桂林 ,6,250元/平,75万
万达广场 吾悦广场汇荣桂林 大四房 视野开阔 急售,汇荣•桂林桂林 ,4,994元/平,66万
一院两馆，山水公园旁，万达九著三房,万达九著 ,4,776元/平,51.8万
汇荣桂林桂林 2房 高楼层 采光好 近吾悦广场 万达,汇荣•桂林桂林 ,4,521元/平,33万
奥林匹克雅典一楼带大花园，简单装修，采光通风好,奥林匹克花园雅典阳光 ,4,330元/平,42万
吾悦广场旁 经典朝南两居室 户型方正 采光好 视野开阔,兴荣郡 ,5,059元/平,43万
小区环境优美         交通方便           户型方正,彰泰郡 ,4,808元/平,54.8万
众阳华城精装3房急售，配套成熟,众阳•华城 ,5,826元/平,49万
麓湖国际  湖景房 采光明亮 视野宽阔,花样年•麓湖国际 ,5,000元/平,68万
汇荣桂林，东家出国，经典2房，有证新装修未入住,汇荣•桂林桂林 ,5,477元/平,48万
市政府旁，客厅挑高4.7米，精装大三房，拎包入住,精通伊顿国际 ,4,560元/平,55.8万
精通伊顿国际精装三房！地段好配套齐全！,精通伊顿国际 ,5,067元/平,55万
山水凤凰城 三房朝南 51.6万,山水凤凰城 ,4,292元/平,48.6万
看湖好位置 楼层中间 价格优惠,花样年•麓湖国际 ,4,881元/平,46万
彰泰城市一号精装3房带车位.....,彰泰城市一号 ,6,267元/平,56万
花生唐旁 朝南户型方正  好楼层 地段好 随时可以签,彰泰欢乐颂 ,5,045元/平,49万
有证无贷，楼层好，视野宽阔，配套设施齐全，交通便利,汇荣•桂林桂林 ,5,005元/平,51万
兴荣郡空置精装房三房两厅两卫，房东无欠款，另有车位,兴荣郡 ,5,518元/平,61.8万
： 户型方正，采光好，交通方便，配套好,桂林电子商城 ,3,692元/平,25.6万
精装修，户型好，采光好，社区配套齐全，生活便利,桂林碧桂园 ,5,274元/平,38.5万
户型方正，高楼层，采光好，视野开阔。,兴荣郡 ,4,796元/平,39万
新区，电梯小高层，精装两房，拎包入住！,冠信幸福美地 ,4,303元/平,37万
吾悦广场旁成熟小区兴荣郡简装大两房,兴荣郡 ,4,563元/平,36.5万
湖景房，两房两厅一卫，采光充足,花样年•麓湖国际 ,4,073元/平,33.8万
临桂区优质两房好楼层 产权清晰 带车位 随时看房,万象•芭堤雅 ,4,000元/平,32万
电梯中间楼层2房2厅  精装修  拎包入住  视野开阔,花样年•麓湖国际 ,4,754元/平,38.5万
一院两馆旁精装两房视野好采光好业主诚心出售,桂林碧桂园 ,5,206元/平,38万
山水凤凰城    简装两房 35.8,山水凤凰城 ,4,234元/平,35.9万
万达九著三房中间楼层  小高层  毛坯,万达九著 ,4,471元/平,38万
美好家园，实用2房 户型方正 采光好 通风好。成熟社区,耀辉美好家园 ,4,574元/平,28万
装修好的大两房，房间宽敞，交通便利。,交通大厦 ,2,616元/平,28万
彰泰滟澜山2房，客厅朝东，两卧室朝南有车位仅售34万,彰泰滟澜山 ,5,131元/平,33万
时代香耕苑经典两房出售，价格实惠，买来都比标价高,时代香耕苑 ,3,948元/平,37万
桂林碧桂园品质精装修两房，板楼朝南，业主诚意出售。,桂林碧桂园 ,5,057元/平,37万
朝南 经典大二房 家具家电齐全,碧园华骊茗城 ,3,889元/平,35万
兴荣郡 毛坯80平 两房 带车位38万,兴荣郡 ,4,756元/平,38万
此房精装修自住，采光好，通透性好，楼层好，视野好,兴荣郡 ,5,816元/平,67.5万
三房两厅一卫户型方正通风好采光好.....,花样年•麓湖国际 ,6,210元/平,55万
奥林匹克巴塞心情精装修大三房带20平米的花园,奥林匹克花园巴塞心晴 ,3,347元/平,44万
凤凰城天屿 车位 露台 入户花园  精装修好房销售,山水凤凰城 ,4,994元/平,62万
成熟社区   山景3房  老少皆宜,彰泰滟澜山 ,4,549元/平,35.8万
吾悦华府高品质小区4房，南北通透，看江景，带车位！,新城吾悦华府 ,4,695元/平,56万
桂医熙境大四房，户型方正，带车位急售,桂医熙境 ,3,872元/平,55万
性比很高的四房 业主血亏急出售,中糖大城小院 ,3,653元/平,45万
板楼四房，品质大盘，采光通风好，价格实惠,新城吾悦华府 ,4,706元/平,56万
临桂新区碧园印象桂林3房精装拎包入住,碧园•印象桂林 ,4,189元/平,49万
临桂新区毛柸三房两厅两卫业主诚心出售，看房方便有钥,瀚浩君临华庭 ,3,444元/平,36.5万
双百强企业，上市物业，配套成熟，户型方正。,彰泰红 ,4,562元/平,53万
会展旁 户型方正中间楼层 视野开阔看水系,彰泰中央城 ,5,589元/平,57万
万达旁简装小两房 有证无贷 带露台40平米,冠信幸福美地 ,4,115元/平,35.8万
精通伊顿国际 2室2厅 南,精通伊顿国际 ,5,245元/平,45.3万
幸福美地中等装修电梯2房急售钥匙在手,冠信幸福美地 ,3,435元/平,29万
户型格局好，通风采光好无遮挡，旁边就是华为产业园。,桂林电子商城 ,2,879元/平,20万
奥林匹克花园两房，中间好楼层，简单装修，户型格局好,奥林匹克花园悉尼蓝湾 ,4,800元/平,40.8万
兴 荣 郡 精 装 修 两 房 出 售,兴荣郡 ,4,353元/平,38.3万
彰泰欢乐颂 一线湖景 两房 明星户型,视野很好!!!,彰泰欢乐颂 ,5,764元/平,41.5万
小区环境优美，户型方正，出行方便,花样年花样城二期 ,4,635元/平,38万
临桂金水路电梯两房75平中装33万5,都市心语 ,3,667元/平,27.5万
